entity_id,site_id,entity_name,entity_status,corresponding_current,persist_id,depth_ref,geology,rock_age,wokam,vegetation_type,land_use,copernicus_lcc,cover_type,cover_thickness,host_rock_trace_elements,drip_water_trace_elements,distance_entrance,speleothem_type,drip_type,drip_height,d13C,d18O,iso_std,d18O_water_equilibrium,d18O_dripwater_carbonate_difference,organics,fluid_inclusions,mineralogy_petrology_fabric,clumped_isotopes,noble_gas_temperatures,C14,ODL,Sr_Ca,Sr_Ca_method,Sr_Ca_std,Sr_Ca_downsampled,Sr_Ca_downsampling_method,Mg_Ca,Mg_Ca_method,Mg_Ca_std,Mg_Ca_downsampled,Mg_Ca_downsampling_method,Ba_Ca,Ba_Ca_method,Ba_Ca_std,Ba_Ca_downsampled,Ba_Ca_downsampling_method,U_Ca,U_Ca_method,U_Ca_std,U_Ca_downsampled,U_Ca_downsampling_method,P_Ca,P_Ca_method,P_Ca_std,P_Ca_downsampled,P_Ca_downsampling_method,Sr_isotopes,Sr_isotopes_method,Sr_isotopes_std,trace_elements_datafile,trace_elements_metadatafile,cave_map,entity_scan,added_in_release_id,last_modified_release_id,data_DOI_URL
740,298,BLM-1,current,,298-BLM1,from top,limestone,Precambrian,discontinuous carbonate,sparse,farmland,cultivated and managed vegetation / agriculture,thin,,no,no,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,yes,solution ICP-AES,other (see notes),No-but different powders used for stable isotope and trace element measurements,,yes,solution ICP-MS,other (see notes),No-but different powders used for stable isotope and trace element measurements,,yes,solution ICP-MS,other (see notes),No-but different powders used for stable isotope and trace element measurements,,no,,,,,no,,,,,no,,,yes,no,no,yes,1,1,
741,299,Alicia,current,,299-ALICIA,from top,limestone,Carboniferous,discontinuous carbonate,mixed (see notes),mixed (see notes),"closed forest, deciduous broad leaf",patchy,,no,no,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
742,300,CC14-6,current,,300-CC146,from top,limestone,Devonian,discontinuous carbonate,grassland,pasture,herbaceous vegetation,patchy,30.0,no,no,100.0,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,yes,no,yes,solution ICP-AES,other (see notes),No-aliquots of same powder used for stable isotope and trace element measurements,,yes,solution ICP-AES,other (see notes),No-aliquots of same powder used for stable isotope and trace element measurements,,no,,,,,no,,,,,no,,,,,no,,,no,no,no,yes,1,1,https://www.ncdc.noaa.gov/paleo/study/31794
743,301,WB,current,,301-WB,from top,limestone,Devonian,discontinuous carbonate,sparse,farmland,herbaceous vegetation,patchy,25.0,yes,unknown,80.0,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,yes,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
744,301,WC,current,,301-WC,from top,limestone,Devonian,discontinuous carbonate,sparse,farmland,herbaceous vegetation,patchy,25.0,yes,unknown,80.0,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,yes,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
745,302,Crevice_composite,current,,302-CREVICE-COMP,not applicable,other (see notes),mixed (see notes),,shrubland,mixed (see notes),permanent water bodies,thick,,no,no,,composite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
746,303,CRY-S1,current,,303-CRYS1,from top,calcarenite,Pleistocene,continuous carbonate,evergreen,forest,"closed forest, evergreen broad leaf",thick,40.0,no,no,140.0,stalagmite,unknown,0.1,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,
747,304,CB4,current,,304-CB4,from top,limestone,Cretaceous,,other (see notes),unknown,cultivated and managed vegetation / agriculture,unknown,,unknown,unknown,60.0,stalagmite,unknown,,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,yes,no,no,,,,,yes,solution ICP-MS,standard stock solutions of known concentrations,Yes-author downsampled,running average/mean,no,,,,,no,,,,,no,,,,,no,,,no,no,no,no,1,1,https://www.ncei.noaa.gov/pub/data/paleo/speleothem/northamerica/mexico/geochem_cb4_wright2022.txt
748,305,Neith_2022,current partially modified,749,305-NEITH,from top,limestone,Carboniferous,discontinuous carbonate,mixed (see notes),mixed (see notes),"closed forest, deciduous broad leaf",patchy,50.0,no,no,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,yes,solution ICP-MS,standard stock solutions of known concentrations,No-aliquots of same powder used for stable isotope and trace element measurements,,yes,solution ICP-MS,standard stock solutions of known concentrations,No-aliquots of same powder used for stable isotope and trace element measurements,,no,,,,,no,,,,,no,,,,,no,,,no,no,no,no,1,1,
749,305,Neith_2015,current partially modified,748,305-NEITH,from top,limestone,Carboniferous,discontinuous carbonate,mixed (see notes),mixed (see notes),"closed forest, deciduous broad leaf",patchy,50.0,no,no,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,yes,solution ICP-AES,other (see notes),No-aliquots of same powder used for stable isotope and trace element measurements,,yes,solution ICP-AES,other (see notes),No-aliquots of same powder used for stable isotope and trace element measurements,,no,,,,,no,,,,,no,,,,,no,,,no,no,no,no,1,1,
750,305,Artemisa_R,current,,305-ARTEMISAR,from top,limestone,Carboniferous,discontinuous carbonate,mixed (see notes),mixed (see notes),"closed forest, deciduous broad leaf",patchy,50.0,no,no,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,yes,solution ICP-AES,other (see notes),No-aliquots of same powder used for stable isotope and trace element measurements,,yes,solution ICP-AES,other (see notes),No-aliquots of same powder used for stable isotope and trace element measurements,,no,,,,,no,,,,,no,,,,,no,,,no,no,no,no,1,1,
