sample_id,d13C_measurement,d13C_precision
5716,-4.3,0.06
5717,-4.41,0.06
5718,-4.38,0.06
5719,-4.42,0.06
5720,-4.98,0.06
5721,-5.09,0.06
5722,-5.09,0.06
5723,-4.98,0.06
5724,-4.98,0.06
5725,-5.04,0.06
5726,-5.22,0.06
5727,-5.42,0.06
5728,-5.9,0.06
5729,-6.52,0.06
5730,-6.88,0.06
5731,-7.21,0.06
5732,-7.31,0.06
5733,-7.5,0.06
5734,-7.54,0.06
5735,-7.42,0.06
5736,-7.14,0.06
5737,-7.01,0.06
5738,-6.92,0.06
5739,-6.87,0.06
5740,-6.95,0.06
5741,-7.01,0.06
5742,-7.06,0.06
5743,-7.08,0.06
5744,-7.11,0.06
5745,-7.01,0.06
5746,-6.91,0.06
5747,-6.83,0.06
5748,-6.88,0.06
5749,-6.41,0.06
5750,-6.64,0.06
5751,-6.59,0.06
5752,-6.74,0.06
5753,-6.77,0.06
5754,-6.64,0.06
5755,-6.48,0.06
5756,-6.47,0.06
5757,-6.46,0.06
5758,-6.44,0.06
5759,-6.67,0.06
5760,-6.69,0.06
5761,-6.28,0.06
5762,-5.38,0.06
5763,-4.94,0.06
5764,-5.09,0.06
5765,-5.26,0.06
5766,-5.82,0.06
5767,-6.53,0.06
5768,-6.71,0.06
5769,-7.11,0.06
5770,-7.24,0.06
5771,-7.37,0.06
5772,-7.35,0.06
5773,-7.3,0.06
5774,-7.28,0.06
5775,-7.11,0.06
5776,-7.12,0.06
5777,-7.61,0.06
5778,-7.63,0.06
5779,-7.76,0.06
5780,-7.82,0.06
5781,-7.72,0.06
5782,-7.21,0.06
5783,-7.76,0.06
5784,-7.97,0.06
5785,-7.81,0.06
5786,-7.75,0.06
5787,-7.33,0.06
5788,-7.24,0.06
5789,-6.15,0.06
5790,-6.25,0.06
5791,-5.98,0.06
5792,-6.03,0.06
5793,-6.05,0.06
5794,-5.97,0.06
5795,-5.71,0.06
5796,-5.6,0.06
5797,-4.61,0.06
5798,-4.81,0.06
5799,-4.77,0.06
5800,-4.58,0.06
5801,-5.02,0.06
5802,-5.38,0.06
5803,-5.44,0.06
5804,-5.93,0.06
5805,-6.04,0.06
5806,-6.44,0.06
5807,-6.78,0.06
5808,-6.91,0.06
5809,-6.88,0.06
5810,-6.86,0.06
5811,-6.93,0.06
5812,-6.76,0.06
5813,-6.58,0.06
5814,-6.73,0.06
5815,-6.83,0.06
5816,-6.79,0.06
5817,-6.99,0.06
5818,-6.61,0.06
5819,-6.49,0.06
5820,-5.92,0.06
5821,-5.03,0.06
5822,-4.06,0.06
5823,-3.5,0.06
5824,-3.4,0.06
5825,-3.67,0.06
5826,-3.84,0.06
5827,-3.81,0.06
5828,-4.11,0.06
5829,-4.0,0.06
5830,-3.97,0.06
5831,-3.84,0.06
5832,-3.49,0.06
5833,-3.51,0.06
5834,-3.94,0.06
5835,-4.63,0.06
5836,-5.39,0.06
5837,-6.16,0.06
5838,-5.45,0.06
5839,-5.12,0.06
5840,-4.11,0.06
5841,-3.84,0.06
5842,-3.58,0.06
5843,-3.95,0.06
5844,-3.93,0.06
5845,-3.62,0.06
5846,-3.5,0.06
5847,-3.25,0.06
5848,-4.07,0.06
5849,-4.58,0.06
5850,-4.49,0.06
5851,-3.99,0.06
5852,-3.8,0.06
5853,-4.1,0.06
5854,-4.18,0.06
5855,-4.22,0.06
5856,-4.14,0.06
5857,-4.82,0.06
5858,-6.29,0.06
5859,-6.87,0.06
5860,-7.54,0.06
5861,-7.96,0.06
5862,-7.81,0.06
5863,-7.12,0.06
5864,-6.54,0.06
5865,-6.45,0.06
5866,-6.59,0.06
5867,-7.47,0.06
5868,-6.96,0.06
5869,-7.09,0.06
5870,-6.71,0.06
5871,-6.09,0.06
5872,-5.39,0.06
5873,-5.8,0.06
5874,-6.59,0.06
5875,-7.59,0.06
5876,-7.74,0.06
5877,-7.07,0.06
5878,-4.9,0.06
5879,-3.57,0.06
5880,-4.27,0.06
5881,-4.73,0.06
5882,-4.33,0.06
5883,-3.36,0.06
5884,-3.42,0.06
5885,-4.63,0.06
5886,-6.26,0.06
5887,-6.74,0.06
5888,-7.77,0.06
5889,-8.09,0.06
5890,-7.0,0.06
5891,-5.36,0.06
5892,-3.85,0.06
5893,-4.85,0.06
5894,-5.59,0.06
5895,-6.23,0.06
5896,-7.61,0.06
5897,-7.77,0.06
5898,-7.22,0.06
5899,-5.37,0.06
5900,-5.58,0.06
5901,-6.26,0.06
5902,-7.86,0.06
5903,-7.99,0.06
5904,-7.54,0.06
5905,-7.31,0.06
5906,-7.41,0.06
5907,-6.1,0.06
5908,-3.18,0.06
5909,-3.38,0.06
5910,-3.53,0.06
5911,-4.13,0.06
5912,-4.9,0.06
5913,-5.2,0.06
5914,-4.48,0.06
5915,-4.07,0.06
5916,-4.24,0.06
5917,-4.57,0.06
5918,-4.91,0.06
5919,-4.79,0.06
5920,-4.79,0.06
5921,-4.83,0.06
5922,-5.37,0.06
5923,-5.41,0.06
5924,-5.33,0.06
5925,-5.78,0.06
5926,-7.24,0.06
5927,-8.55,0.06
5928,-8.38,0.06
5929,-6.99,0.06
5930,-6.74,0.06
5931,-6.31,0.06
5932,-6.14,0.06
5933,-6.49,0.06
5934,-6.69,0.06
5935,-6.7,0.06
5936,-6.48,0.06
5937,-6.51,0.06
5938,-6.25,0.06
5939,-5.73,0.06
5940,-6.08,0.06
5941,-6.67,0.06
5942,-6.59,0.06
5943,-7.1,0.06
5944,-7.55,0.06
5945,-7.64,0.06
5946,-7.13,0.06
5947,-6.55,0.06
5948,-5.75,0.06
5949,-5.77,0.06
5950,-5.48,0.06
5951,-4.93,0.06
5952,-4.38,0.06
5953,-4.43,0.06
5954,-4.5,0.06
5955,-4.47,0.06
5956,-3.78,0.06
5957,-2.26,0.06
5958,-2.2,0.06
5959,-2.81,0.06
5960,-3.06,0.06
5961,-3.82,0.06
5962,-4.45,0.06
5963,-4.35,0.06
5964,-4.81,0.06
5965,-4.66,0.06
5966,-4.15,0.06
5967,-3.57,0.06
5968,-3.98,0.06
5969,-3.85,0.06
5970,-4.24,0.06
5971,-4.54,0.06
5972,-4.1,0.06
5973,-3.9,0.06
5974,-5.58,0.06
5975,-6.67,0.06
5976,-6.94,0.06
5977,-7.38,0.06
5978,-7.83,0.06
5979,-7.87,0.06
5980,-6.97,0.06
5981,-6.86,0.06
