dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
11306,633,MC-ICP-MS U/Th,297.0,,,calcite,50.0,150.0,28130.0,510.0,510.0,,,yes,23.7,,999.0,,,,22.16,0.928,0.3057,0.005,1.3595,2.2e-05,0.825,0.825,Cheng et al. 2000,27230.0,1040.0,1040.0,yes,yes,yes,yes,,yes,yes
11307,634,MC-ICP-MS U/Th,602.0,,,calcite,50.0,150.0,36610.0,340.0,340.0,,,yes,39.5,,492.0,,,,95.72,7546.0,0.3902,0.003,1.378834952,3.00971e-05,0.825,0.825,Cheng et al. 2000,36350.0,430.0,430.0,,,,,,,
11308,634,MC-ICP-MS U/Th,546.0,,,calcite,50.0,150.0,38230.0,280.0,280.0,,,yes,40.3,,120.0,,,,412.12,89.393,0.4026,0.002,1.372912621,1.45631e-05,0.825,0.825,Cheng et al. 2000,38170.0,290.0,290.0,,,,,,,
11309,634,MC-ICP-MS U/Th,431.0,,,calcite,50.0,150.0,39200.0,210.0,210.0,,,yes,50.6,,219.0,,,,291.58,26.174,0.4123,0.002,1.377572816,1.45631e-05,0.825,0.825,Cheng et al. 2000,39110.0,230.0,230.0,,,,,,,
11310,634,MC-ICP-MS U/Th,315.0,,,calcite,50.0,150.0,39170.0,160.0,160.0,,,yes,69.9,,1756.0,,,,50.3,0.677,0.4135,0.001,1.382135922,1.5534e-05,0.825,0.825,Cheng et al. 2000,38640.0,550.0,550.0,,,,,,,
11311,635,MC-ICP-MS U/Th,151.0,,,calcite,50.0,150.0,11940.0,440.0,440.0,,,yes,50.7,,4113.0,,,,5.57,0.228,0.1478,0.005,1.419126214,2.71845e-05,0.825,0.825,Cheng et al. 2000,10290.0,1720.0,1720.0,yes,,yes,,,yes,
11312,635,MC-ICP-MS U/Th,113.0,,,calcite,50.0,150.0,11550.0,170.0,170.0,,,yes,73.9,,7052.0,,,,4.65,0.074,0.1452,0.002,1.439126214,2.81553e-05,0.825,0.825,Cheng et al. 2000,9620.0,1930.0,1930.0,yes,,yes,,,yes,
11313,635,MC-ICP-MS U/Th,91.0,,,calcite,50.0,150.0,10810.0,80.0,80.0,,,yes,70.7,,2623.0,,,,11.33,0.133,0.1376,0.001,1.453106796,1.74757e-05,0.825,0.825,Cheng et al. 2000,10070.0,740.0,740.0,yes,,yes,,,yes,
11314,636,MC-ICP-MS U/Th,819.0,,,calcite,50.0,150.0,32790.0,320.0,320.0,,,yes,37.0,,1267.0,,,,31.68,0.912,0.3554,0.003,1.37631068,2.23301e-05,0.825,0.825,Cheng et al. 2000,32070.0,790.0,790.0,yes,yes,yes,yes,,yes,yes
11315,636,MC-ICP-MS U/Th,506.0,,,calcite,50.0,150.0,37960.0,570.0,570.0,,,yes,42.4,,2180.0,,,,23.9,0.592,0.4023,0.005,1.379223301,1.94175e-05,0.825,0.825,Cheng et al. 2000,36870.0,1220.0,1220.0,yes,yes,yes,yes,,yes,yes
